,terms,titles,pageids
1689,bavaria,"['Bavaria', 'List of rulers of Bavaria', 'Kingdom of Bavaria', 'History of Bavaria', 'Duchy of Bavaria', 'Upper Bavaria', 'Gräfenberg, Bavaria', 'Bavaria Film', 'Electorate of Bavaria', 'Bavaria-Straubing', 'Karl Theodor, Duke in Bavaria', 'Ludwig I of Bavaria', 'Maximilian II of Bavaria', 'Duke Wilhelm in Bavaria', 'Albert IV, Duke of Bavaria', 'Luitpold, Prince Regent of Bavaria', 'Maximilian I Joseph of Bavaria', 'Ludwig III of Bavaria', 'Duke in Bavaria', 'Prince Ludwig Ferdinand of Bavaria', 'Rupprecht, Crown Prince of Bavaria', 'Ferdinand Maria, Elector of Bavaria', 'George, Duke of Bavaria', 'Lower Bavaria', 'Arnulf, Duke of Bavaria', 'Evangelical Lutheran Church in Bavaria', 'Franz, Duke of Bavaria', 'Ferdinand of Bavaria (bishop)', 'List of Ministers-President of Bavaria', 'Duchess Mathilde Ludovika in Bavaria']","['3082417', '1136271', '3764', '3129300', '5786446', '9364127', '1463463', '23511624', '2804342', '8984250', '9875405', '963070', '3968356', '774005', '3485175', '5909437', '148597', '12680995', '3043377', '229685', '222076', '190144', '357913', '166611', '1426211', '260972', '295384', '5607571', '545889', '190061']"
1690,munich,"['Munich', 'Munich Agreement', 'Munich massacre', 'Munich Re', 'Munich Airport', 'Munich (film)', 'Olympiastadion (Munich)', '2016 Munich shooting', 'Trams in Munich', 'Munich S-Bahn', 'Technical University of Munich', 'Academy of Fine Arts, Munich', 'Munich U-Bahn', 'Football in Munich', 'TSV 1860 Munich', 'Ludwig Maximilian University of Munich', 'FC Bayern Munich Junior Team', 'Consulate General of the United States, Munich', 'Munich-Riem Airport', 'Roman Catholic Archdiocese of Munich and Freising', 'New Town Hall (Munich)', 'Munich air disaster', 'Munich East–Munich Airport railway', 'FC Bayern Munich', '2008–09 FC Bayern Munich season', 'Munich–Rosenheim railway', '2007–08 FC Bayern Munich season', 'Königsplatz, Munich', 'Munich Frauenkirche', 'Munich (district)']","['11932825', '18472494', '51137635', '2029424', '28167065', '172326', '4122006', '10282337', '5258642', '252750', '19058', '9005165', '310132', '2311219', '159203', '266998', '38857815', '3357494', '1252672', '1175189', '1175257', '157511', '20989', '26220310', '11502681', '928245', '1831158', '1007441', '349679', '22302233']"
1691,berlin,"['Berlin', 'East Berlin', 'West Berlin', 'Battle of Berlin', 'Berlin Wall', 'Air Berlin', 'Berlin Blockade', 'Berlin Hauptbahnhof', 'History of Berlin', 'Berlin, Connecticut', 'Trams in Berlin', 'Transport in Berlin', 'Berlin Ringbahn', 'Berlin Tegel Airport', 'Berlin Südkreuz', 'Gemäldegalerie, Berlin', 'Governing Mayor of Berlin', 'Eisbären Berlin', 'Olympiastadion (Berlin)', 'Berlin-Gesundbrunnen station', 'Berlin Friedrichstraße station', 'Technical University of Berlin', 'Berlin Ostbahnhof', 'Free University of Berlin', 'Berlin-Pankow station', 'Berlin Schönefeld Airport', 'Berlin Police', 'Football in Berlin', 'Abgeordnetenhaus of Berlin', 'Berlin State Opera']","['10895560', '463700', '291145', '3354', '108702', '9401690', '3006964', '24008586', '9147934', '2582226', '4176600', '34339160', '9149090', '271754', '391156', '9145267', '271834', '3722', '9483', '1790061', '10926233', '315275', '2669813', '25699896', '242099', '865871', '197203', '1404448', '20838830', '33170']"
1692,brandenburg,"['Brandenburg', 'Margraviate of Brandenburg', 'List of rulers of Brandenburg', 'Province of Brandenburg', 'Brandenburg an der Havel', 'Bishopric of Brandenburg', 'FC Stahl Brandenburg', 'Brandenburg Hauptbahnhof', 'Berlin/Brandenburg Metropolitan Region', 'Brandenburg Gate', 'Brandenburg-Prussia', 'John Sigismund, Elector of Brandenburg', 'Landtag of Brandenburg', 'Joachim Frederick, Elector of Brandenburg', 'Brandenburg v. Ohio', 'John, Margrave of Brandenburg-Küstrin', 'Waldemar, Margrave of Brandenburg-Stendal', 'Frederick William, Elector of Brandenburg', 'George, Margrave of Brandenburg-Ansbach', 'Brandenburg, Kentucky', 'Brandenburg Euthanasia Centre', 'Brandenburg Concertos', 'Brandenburg Navy', 'Joachim II Hector, Elector of Brandenburg', 'George William, Elector of Brandenburg', 'Frederick I, Elector of Brandenburg', 'Catherine of Brandenburg-Küstrin', 'John Cicero, Elector of Brandenburg', 'Berlin Brandenburg Airport railway station', 'Frederick II, Elector of Brandenburg']","['28724925', '40774322', '4429', '3765', '115357', '242698', '247758', '31923036', '156604', '9233440', '11643873', '158980', '219211', '32172198', '3517507', '39363', '39368', '11449', '13141', '12798', '16305', '24536700', '31862251', '16302', '16306', '17928458', '2290530', '8206970', '5126084', '3536960']"
1693,bremen,"['Bremen', 'Bremen-Liga', 'Bremen (state)', 'Archbishopric of Bremen', 'Bremen Hauptbahnhof', 'Bremen-Verden', 'University of Bremen', 'Bremen Airport', 'SV Werder Bremen', 'Town Musicians of Bremen', 'Bremen, Georgia', 'List of administrators, archbishops, bishops, and prince-archbishops of Bremen', 'Bremen City Hall', 'SV Werder Bremen II', 'SS Bremen (1928)', 'Bürgerschaft of Bremen', 'Timeline of Bremen', 'Landgericht Bremen', 'Bremen–Hanover railway', 'Kunsthalle Bremen', 'Radio Bremen', 'Übersee-Museum Bremen', 'Swedish Wars on Bremen', 'University of the Arts Bremen', 'Bremen, Alabama', 'Bremen (aircraft)', 'Bremen–Bremerhaven railway', 'Coat of arms of Bremen', 'Birgittenkloster Bremen', 'Stadtwaage (Bremen)']","['255372', '41575554', '9420388', '8641867', '109925', '15924102', '739383', '953245', '157672', '500570', '12894999', '4649004', '9153887', '27772156', '17706294', '12069041', '4126956', '41618853', '24699957', '3201367', '1071082', '7598082', '17396274', '41279915', '25444258', '41345632', '228204', '1184716', '11818593', '25668854']"
1694,hamburg,"['Hamburg', 'Oberliga Hamburg', 'Hamburg Hauptbahnhof', 'University of Hamburg', 'Hamburg Airport', 'Government of Hamburg', 'Hamburg Ballet', 'Hamburg, Pennsylvania', 'Philharmoniker Hamburg', 'Hamburg cell', 'List of mayors of Hamburg', 'Greater Hamburg Act', 'Hamburg America Line', 'Port of Hamburg', 'Hamburg University of Technology', 'Hamburg State Opera', 'Timeline of Hamburg', 'Hamburg Parliament', 'Hamburg Süd', 'Roman Catholic Archdiocese of Hamburg', 'Berlin–Hamburg Railway', 'Barclaycard Arena (Hamburg)', 'Handball Hamburg', 'Neustadt, Hamburg', 'Kunsthalle Hamburg', ""St. Mary's Cathedral, Hamburg"", 'Hamburg-Altona station', 'Hamburg-Harburg station', 'Education in Hamburg', 'Bombing of Hamburg in World War II']","['2446994', '24109303', '335224', '18730726', '17159413', '2225268', '13467', '131365', '5800141', '17816923', '900545', '1906375', '17705349', '5313820', '19394246', '380245', '3603250', '3625803', '867270', '15785906', '2499294', '592124', '46299499', '15962487', '14256670', '2158876', '6631712', '32054328', '41279566', '1753136']"
1695,hesse,"['Hesse', 'List of rulers of Hesse', 'Grand Duchy of Hesse', 'Landgraviate of Hesse-Kassel', 'Landgraviate of Hesse', 'House of Hesse', 'Hesse-Homburg', 'Hermann Hesse', 'Hesse-Nassau', 'Landgraviate of Hesse-Darmstadt', 'Electorate of Hesse', 'Landgraviate of Hesse-Rotenburg', 'List of Ministers-President of Hesse', 'Louis IX, Landgrave of Hesse-Darmstadt', 'Hesse-Marburg', 'Louis IV, Grand Duke of Hesse', 'William IV, Landgrave of Hesse-Kassel', 'Ernest Louis, Grand Duke of Hesse', 'Philip, Landgrave of Hesse-Philippsthal', 'Donatus, Landgrave of Hesse', 'Prince Charles of Hesse-Kassel', 'Louis I, Grand Duke of Hesse', 'Prince Frederick of Hesse-Kassel', 'Prince Frederick Charles of Hesse', 'Louis V, Landgrave of Hesse-Darmstadt', 'Prince Frederick William of Hesse-Kassel', 'Otto Hesse', 'Prince Wolfgang of Hesse', 'Frederick II, Landgrave of Hesse-Kassel', 'Moritz, Landgrave of Hesse']","['6869276', '34655783', '1476057', '3008970', '7502277', '13578', '38412', '405992', '581805', '405967', '260916', '8579121', '8576896', '258653', '2276851', '12157252', '236786', '1476089', '316937', '2779825', '8145638', '3966815', '740995', '14359852', '4138697', '189062', '13974061', '5419695', '5529679', '1825849']"
1696,frankfurt,"['Frankfurt', 'Frankfurt (Oder)', 'Frankfurt Airport', 'Frankfurt School', 'Frankfurt (Main) Hauptbahnhof', 'Messe Frankfurt', 'Höchst (Frankfurt am Main)', 'Frankfurt Rhine-Main', 'Eintracht Frankfurt', 'Trams in Frankfurt am Main', 'Frankfurt South station', 'Opern- und Schauspielhaus Frankfurt', 'Frankfurt Parliament', 'Eintracht Frankfurt II', 'Frankfurt U-Bahn', 'Frankfurt Stock Exchange', 'Frankfurt–Hahn Airport', 'Frankfurt-Hanau Railway', '2005–06 Eintracht Frankfurt season', 'Frankfurt (Main) Hauptbahnhof underground', 'Grand Duchy of Frankfurt', '1. FFC Frankfurt', 'SMS Frankfurt', 'Japanische Internationale Schule Frankfurt', 'Frankfurt Höchst station', 'Free City of Frankfurt', 'FSV Frankfurt', 'Rot-Weiss Frankfurt', 'Goethe University Frankfurt', 'Sachsenhausen (Frankfurt am Main)']","['7125149', '11735409', '862147', '7810427', '3723607', '10992', '28032153', '4605151', '26734026', '98577', '248285', '27976189', '312719', '30862728', '229236', '11410763', '661174', '3734651', '158567', '7501745', '539080', '253140', '2350108', '41531133', '3778733', '3577825', '9302823', '5148567', '30873291', '20544454']"
1697,lower saxony,"['Lower Saxony', 'Prime Minister of Lower Saxony', 'Landtag of Lower Saxony', 'Coat of arms of Lower Saxony', 'List of mountains and hills of Lower Saxony', 'Day of Lower Saxony', 'List of rivers of Lower Saxony', 'List of nature reserves in Lower Saxony', 'Munster, Lower Saxony', 'Remlingen, Lower Saxony', 'Flag of Lower Saxony', 'Lower Saxony Cup', 'South Lower Saxony', 'Saxony', 'Harz Nature Park', 'Lower Saxony State Museum', 'Fürstenau, Lower Saxony', 'Old Saxony', 'Saxony-Anhalt', 'Friedland, Lower Saxony', 'Lower Saxony state election, 2008', 'Lower Saxony state election, 2003', 'Heiningen, Lower Saxony', 'Sumte, Lower Saxony, Germany', 'Nienburg, Lower Saxony', 'Confederation of Protestant Churches in Lower Saxony', 'Lilienthal, Lower Saxony', 'Freiburg, Lower Saxony', 'Lower Saxon Wadden Sea National Park', 'Lower Saxony state election, 2013']","['12069206', '34366744', '27929487', '30526941', '11978298', '4510380', '4558542', '38067919', '11980455', '17736709', '4246804', '24272292', '25794564', '24665381', '26003575', '18435', '32170074', '15413111', '1265240', '12458390', '35817156', '1572498', '1333670', '2420186', '27908415', '11980489', '28395', '38138', '25009862', '48430479']"
1698,mecklenburg-vorpommern,"['Mecklenburg-Vorpommern', 'Megaliths in Mecklenburg-Vorpommern', 'Flag of Mecklenburg-Vorpommern', 'Schönberg, Mecklenburg-Vorpommern', 'Mecklenburg-Vorpommern Cup', 'List of hills of Mecklenburg-Vorpommern', 'Friedland, Mecklenburg-Vorpommern', 'Vorpommern-Rügen', 'Mecklenburg', 'Verbandsliga Mecklenburg-Vorpommern', 'Landtag of Mecklenburg-Vorpommern', 'Sternberg, Mecklenburg-Vorpommern', 'Saal, Mecklenburg-Vorpommern', 'Vorpommern-Rügen – Vorpommern-Greifswald I', 'Nienhagen, Mecklenburg-Vorpommern', 'List of cities in Mecklenburg-Vorpommern', 'Mecklenburg-Vorpommern state election, 2006', 'Picher, Germany', 'Mecklenburg Lake Plateau', 'Mecklenburg-Vorpommern state election, 2016', 'Born auf dem Darß', 'List of railway stations in Mecklenburg-Vorpommern', 'Middle Mecklenburg', 'Mecklenburg-Vorpommern state election, 2011', 'Evangelical Lutheran Church of Mecklenburg', 'Duchy of Mecklenburg-Schwerin', 'List of rulers of Mecklenburg', 'Mecklenburg (1945-1952)', 'Mecklenburg Elbe Valley Nature Park', 'Charles of Mecklenburg-Güstrow']","['13200453', '35214712', '151447', '873509', '26281514', '229974', '17706695', '41703838', '33723677', '22123101', '18260450', '20193', '38168', '32267442', '7061559', '28607859', '50825701', '54344086', '34244861', '8265828', '28617357', '34055626', '13142889', '9352339', '13200833', '5991033', '1061222', '15873809', '32985038', '40612213']"
1699,north rhine-westphalia,"['North Rhine-Westphalia', 'List of mountains and hills of North Rhine-Westphalia', 'List of regional railway lines in North Rhine-Westphalia', 'Westphalia', 'Coat of arms of North Rhine-Westphalia', 'Politics of North Rhine-Westphalia', 'History of North Rhine-Westphalia', 'The Left North Rhine-Westphalia', 'Herne, North Rhine-Westphalia', 'List of rivers of North Rhine-Westphalia', 'North Rhine', 'North Rhine-Westphalia state election, 2012', 'Constitution of North Rhine-Westphalia', 'Landtag of North Rhine-Westphalia', 'List of castles in North Rhine-Westphalia', 'Economy of North Rhine-Westphalia', 'North Rhine-Westphalia Police', 'North Rhine-Westphalia state election, 2005', 'Burbach, North Rhine-Westphalia', 'Duchy of Westphalia', 'Borken, North Rhine-Westphalia', 'NRW.INVEST', 'Senden, North Rhine-Westphalia', 'Province of Westphalia', 'Wyler, North Rhine-Westphalia', 'Lower Rhine region', 'North Rhine-Westphalia state election, 1995', 'Halle (Westfalen)', 'Gronau, North Rhine-Westphalia', 'Greven']","['183253', '15441382', '12069249', '25692433', '4625109', '31461779', '3198089', '4049758', '1428142', '179561', '31461762', '17956934', '21099368', '24678048', '25501374', '33558047', '9519711', '18825783', '51496860', '38414', '9052361', '28797942', '1735059', '29463292', '16061458', '5108998', '4050742', '40629381', '33165', '19590716']"
1700,cologne,"['History of the Jews in Cologne', 'Severin of Cologne', 'Coat of arms of Cologne', 'Cologne school massacre', 'Maternus of Cologne', 'Hildebold']","['26930933', '4965767', '9516186', '31034361', '2471880', '2874711']"
1701,duesseldorf,"['Düsseldorf', 'Kunstakademie Düsseldorf', 'Düsseldorf Baskets', 'Düsseldorf-Golzheim', 'Altstadt (Düsseldorf)', 'Avantgarde History', 'La Düsseldorf', 'Jan Koemmet', 'Thomas Krauth', 'Düsseldorf Stadtbahn', 'Düsseldorf Airport', 'Fritz Hellwig', 'St. Andreas, Düsseldorf', 'Alice Könitz', 'Ralf Brück', 'Mandy Valentine', 'Franz Grashof', 'Universitäts-Augenklinik Düsseldorf', 'Markus Vater', 'Heinrich Heine Prize', 'Deutsche Oper am Rhein', 'Japanese community of Düsseldorf', 'Arianit Ferati', 'Blue Wings', 'Stefan Ruthenbeck', ""Sante D'Orazio"", 'Imai – inter media art institute', 'Landgravine Elisabeth Amalie of Hesse-Darmstadt', 'Uni knot', 'Archduchess Maria Anna Josepha of Austria']","['11415751', '3900817', '19312688', '47394382', '26656828', '1749327', '4955777', '65711', '5055469', '292633', '26965545', '18299971', '7176825', '12695751', '5363199', '41791120', '16764645', '41533899', '3482814', '13644011', '12129714', '30896381', '8775189', '27758560', '25869758', '39708711', '42843205', '54148371', '19276915', '43376258']"
1702,essen (ruhr area),"['Essen', 'Essen Hauptbahnhof', 'Ruhr Red Army', 'Essen Stadtbahn', 'Essen Abbey', 'Ruhrtriennale', 'Old Kupferdreh station', 'Duisburg Hauptbahnhof', 'BOGESTRA', 'Hohenlimburg station', 'Emscher', 'Bielefeld Agreement', 'Wattenscheid station', 'Hagen', 'Meiderich', 'Bundesautobahn 560', 'Gladbeck', 'Lippeverband', 'Uerdingen line', 'Detlev Peukert', 'BrabantStad', 'Velbert', 'Rhineland', 'Revierderby', 'Our Lady of Good Counsel', 'Heitkamp BauHolding']","['5036900', '26476758', '41973162', '28743862', '2851904', '7443774', '2988657', '173973', '9178194', '8207242', '41294848', '432713', '179115', '26666941', '40158037', '47754149', '3579524', '33374575', '7459306', '4726552', '51556', '215758', '23533094', '1857059', '1025371', '31834655']"
1703,rhineland-palatinate,"['Rhineland-Palatinate', 'Landtag of Rhineland-Palatinate', 'Schönau, Rhineland-Palatinate', 'Schönberg, Rhineland-Palatinate', 'List of mountains and hills of Rhineland-Palatinate', 'Palatinate', 'Politics of Rhineland-Palatinate', 'Palatinate (region)', 'Schönbach, Rhineland-Palatinate', 'Erbach, Rhineland-Palatinate', 'Wahlbach, Rhineland-Palatinate', 'Palatinate Forest', 'Rhineland-Palatinate Police', 'Electoral Palatinate', 'Tiefenbach, Rhineland-Palatinate', 'Wagenhausen, Rhineland-Palatinate', 'Palatinate (wine region)', 'Nußbach, Rhineland-Palatinate', 'Nehren, Rhineland-Palatinate', 'Rhineland-Palatinate state election, 2011', 'Coat of arms of Rhineland-Palatinate', 'Western Palatinate', 'Rhineland-Palatinate state election, 2016', 'Aach, Rhineland-Palatinate', 'Burtscheid, Rhineland-Palatinate', 'Sehlem, Rhineland-Palatinate', 'Rhineland', 'List of members of the Rhineland-Palatinate Landtag', 'Bickenbach, Rhineland-Palatinate', 'Weiden, Rhineland-Palatinate']","['3499802', '13016157', '11789663', '12069257', '38846', '13016256', '583737', '583745', '26188832', '12326789', '12990815', '3159267', '38849', '9223433', '4209088', '16062181', '51556', '26239', '8819342', '28605208', '49275023', '13080854', '13081421', '11797315', '11782420', '13016512', '11859975', '13016415', '11882547', '40722666']"
